customer_key,tenure,price_protection_flag,camp_data_rem_days,basic_flag,data_flag,residential_telephony_flag,age_1,estimated_hh_income_in_000,total_1mo_data_usage,total_6mo_data_usage,easy_pay_flag,hbo_flag,cinemax_flag,showtime_flag,starz_flag,sub_retention_30day,sub_informational_30day,sub_directmail_60day,sub_email_60day,added_psu_last_12mo,dropped_psu_last_12mo,uptier_video_last_12mo,downtier_video_last_12mo,dropped_video_last_12mo,added_video_last_12mo,total_calls_offered_60days,retention_calls_60days,sales_calls_60days,acct_services_calls_60days,collections_calls_60days,tech_support_calls_60days,total_calls_offered_90days,home_max_speed,competitor,psu_combo
20790491,200,0,252,0,1,0,73,47,274.83,1281.79,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
109747196,25,0,17,0,1,0,61,79,645.08,4585.94,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,D
75530297,200,0,0,0,1,1,61,243,805.39,4492.23,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,50,ATT,D+P
113451245,8,0,881,0,1,1,30,106,77.1,677.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,ATT,D+P
66216001,153,0,0,0,1,1,41,132,1127.21,5722.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D+P
107204164,39,0,0,0,1,0,43,98,742.15,3827.81,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
114452439,2,0,1051,0,1,0,34,157,348.08,422.63,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,D+H
113044354,10,0,809,0,1,0,71,63,381.03,2671.06,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,ATT,D
20793151,200,0,0,1,1,0,83,41,197.38,1211.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D
66614282,151,0,0,1,1,1,48,110,76.89,465.99,0,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P+H
20729440,200,0,0,0,1,0,67,250,68.18,488.12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
108995948,30,0,0,1,0,0,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V
51966453,200,0,136,1,1,1,57,107,214.22,1334.56,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
111816283,16,0,269,0,1,0,29,18,355.06,1542.87,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
111580653,17,0,236,0,1,0,44,66,168.46,1414.34,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
52044828,200,0,0,1,1,0,45,141,41.93,196.58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,V+D
79013579,82,0,0,1,1,0,58,64,347.21,2426.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,ATT,V+D
114093709,4,0,262,0,1,0,33,28,417.28,1092.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,D
20765997,200,0,647,1,1,1,75,74,70.9,505.18,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,3,0,0,0,0,3,4,5,ATT,V+D+P
113713768,6,1,193,0,1,0,47,112,430.29,2273.9,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
20715368,200,0,0,0,1,1,53,93,572.28,3878.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D+P
107157704,39,0,0,0,0,1,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,P
